swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw00utt/sw_0091_3135.utt,3/sw3135,3135,0,o,B,1,1,Okay.  /,Okay/UH ./.,(INTJ (UH Okay) (. .) (-DFL- E_S)),1
sw00utt/sw_0091_3135.utt,3/sw3135,3135,1,qy,B,1,2,"[ Do you, + have you ] ever had to put your children in, # child care, Mary Dell? # /","Do/VBP  [ you/PRP ] ,/, have/VBP  [ you/PRP ] ever/RB had/VBN to/TO put/VB  [ your/PRP$ children/NNS ] in/IN ,/,  [ child/NN care/NN ] ,/,  [ Mary/NNP Dell/NNP ] ?/.","(SQ (EDITED (RM (-DFL- \[)) (SQ-UNF (VBP Do) (NP-SBJ (PRP you))) (, ,) (IP (-DFL- \+))) (VBP have) (NP-SBJ-1 (PRP you)) (RS (-DFL- \])) (ADVP-TMP (RB ever)) (VP (VBN had) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB put) (NP (PRP$ your) (NNS children)) (PP-PUT (IN in) (, ,) (NP (NN child) (NN care)))))) (, ,) (NP-VOC (NNP Mary) (NNP Dell))) (. ?) (-DFL- E_S))",2
sw00utt/sw_0091_3135.utt,3/sw3135,3135,2,ny,A,2,1,# {F Oh } yes.  /,Oh/UH yes/UH ./.,(INTJ (INTJ (UH Oh)) (INTJ (UH yes)) (. .) (-DFL- E_S)),4
sw00utt/sw_0091_3135.utt,3/sw3135,3135,3,sd^e,A,2,2,I'm # an old experienced hand.  /,[ I/PRP ] 'm/VBP  [ an/DT old/JJ experienced/JJ hand/NN ] ./.,(S (NP-SBJ (PRP I)) (VP (VBP 'm) (NP-PRD (DT an) (JJ old) (JJ experienced) (NN hand))) (. .) (-DFL- E_S)),5
sw00utt/sw_0091_3135.utt,3/sw3135,3135,4,sd,A,2,3,"I started back when it wasn't,","[ I/PRP ] started/VBD back/RB when/WRB  [ it/PRP ] was/VBD n't/RB ,/,","(S (NP-SBJ (PRP I)) (VP (VBD started) (SBAR-TMP (ADVP (RB back)) (WHADVP-1 (WRB when)) (S (NP-SBJ (NP (PRP it)) (S (-NONE- *EXP*-2))) (VP (VBD was) (RB n't) (, ,) (ADJP-PRD (JJ stylish)) (S-2 (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (DT that))))) (ADVP (IN at) (DT all)) (ADVP-TMP (-NONE- *T*-1)))))) (. .) (-DFL- E_S))",6
sw00utt/sw_0091_3135.utt,3/sw3135.pos,3135,5,x,B,3,1,<Noise>.,./.
sw00utt/sw_0091_3135.utt,3/sw3135,3135,6,+,A,4,1,stylish to do that at all. /,[ stylish/JJ ] to/TO do/VB  [ that/DT ] at/IN  [ all/DT ] ./.,"(S (NP-SBJ (PRP I)) (VP (VBD started) (SBAR-TMP (ADVP (RB back)) (WHADVP-1 (WRB when)) (S (NP-SBJ (NP (PRP it)) (S (-NONE- *EXP*-2))) (VP (VBD was) (RB n't) (, ,) (ADJP-PRD (JJ stylish)) (S-2 (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (DT that))))) (ADVP (IN at) (DT all)) (ADVP-TMP (-NONE- *T*-1)))))) (. .) (-DFL- E_S))",6
sw00utt/sw_0091_3135.utt,3/sw3135.pos,3135,7,x,B,5,1,<Noise>.,./.
sw00utt/sw_0091_3135.utt,3/sw3135,3135,8,sd,A,6,1,My daughter that's seventeen now --,[ My/PRP$ daughter/NN ] [ that/WDT ] 's/BES  [ seventeen/CD ] now/RB --/:,(S (NP-TPC (NP (PRP$ My) (NN daughter)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (BES 's) (NP-PRD (CD seventeen)) (ADVP-TMP (RB now)))))) (NP-SBJ (PRP I)) (VP (VBD worked) (SBAR-TMP (ADVP (RB even)) (WHADVP-2 (WRB when)) (S (NP-SBJ (PRP she)) (VP (VBD was) (NP-PRD (DT a) (NN baby)) (ADVP-TMP (-NONE- *T*-2)))))) (. .) (-DFL- E_S)),11
sw00utt/sw_0091_3135.utt,3/sw3135,3135,9,b,B,7,1,Uh-huh. /,[ Uh-huh/UH ] ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),13
sw00utt/sw_0091_3135.utt,3/sw3135,3135,10,+,A,8,1,-- I worked even when she was a baby. /,--/:  [ I/PRP ] worked/VBD even/RB when/WRB  [ she/PRP ] was/VBD  [ a/DT baby/NN ] ./.,(S (NP-TPC (NP (PRP$ My) (NN daughter)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (BES 's) (NP-PRD (CD seventeen)) (ADVP-TMP (RB now)))))) (NP-SBJ (PRP I)) (VP (VBD worked) (SBAR-TMP (ADVP (RB even)) (WHADVP-2 (WRB when)) (S (NP-SBJ (PRP she)) (VP (VBD was) (NP-PRD (DT a) (NN baby)) (ADVP-TMP (-NONE- *T*-2)))))) (. .) (-DFL- E_S)),11
sw00utt/sw_0091_3135.utt,3/sw3135,3135,11,b,B,9,1,# Oh. # /,Oh/UH ./.,(INTJ (UH Oh) (. .) (-DFL- E_S)),16
sw00utt/sw_0091_3135.utt,3/sw3135,3135,12,sd,A,10,1,# {C And } # I had private care for both my daughters until they were two <lipsmack>  /,And/CC  [ I/PRP ] had/VBD  [ private/JJ care/NN ] for/IN  [ both/DT my/PRP$ daughters/NNS ] until/IN  [ they/PRP ] were/VBD  [ two/CD ],(S (CC And) (NP-SBJ (PRP I)) (VP (VBD had) (NP (JJ private) (NN care)) (PP (IN for) (NP (DT both) (PRP$ my) (NNS daughters))) (SBAR-TMP (IN until) (S (NP-SBJ (PRP they)) (VP (VBD were) (NP-PRD (CD two)))))) (-DFL- E_S)),18
sw00utt/sw_0091_3135.utt,3/sw3135,3135,13,sd,A,10,2,"{C and then } I was really lucky to have put them in a,","and/CC then/RB  [ I/PRP ] was/VBD really/RB lucky/JJ to/TO have/VB put/VBN  [ them/PRP ] in/IN  [ a/DT ] ,/,","(S (CONJP (CC and) (RB then)) (NP-SBJ-1 (PRP I)) (VP (VBD was) (ADJP-PRD (RB really) (JJ lucky) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB have) (VP (VBN put) (NP (PRP them)) (PP-PUT (IN in) (NP (NP (DT a) (, ,) (JJ Methodist) (NN day) (NN school)) (PP-LOC (IN at) (NP (NNP Preston) (NNP Hollow) (NNP Methodist))) (, ,) (PP-LOC (ADVP (RB right)) (IN off) (PP (IN of) (NP (NP (NNP Walnut) (NNP Hill)) (CC and) (NP (NNP Preston))))))))))))) (. .) (-DFL- E_S))",19
sw00utt/sw_0091_3135.utt,3/sw3135.pos,3135,14,x,B,11,1,<Noise>.,./.
sw00utt/sw_0091_3135.utt,3/sw3135,3135,15,+,A,12,1,"Methodist day school at Preston Hollow Methodist, # right off # --","[ Methodist/JJ day/NN school/NN ] at/IN  [ Preston/NNP Hollow/NNP Methodist/NNP ] ,/, right/RB off/IN --/:","(S (CONJP (CC and) (RB then)) (NP-SBJ-1 (PRP I)) (VP (VBD was) (ADJP-PRD (RB really) (JJ lucky) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB have) (VP (VBN put) (NP (PRP them)) (PP-PUT (IN in) (NP (NP (DT a) (, ,) (JJ Methodist) (NN day) (NN school)) (PP-LOC (IN at) (NP (NNP Preston) (NNP Hollow) (NNP Methodist))) (, ,) (PP-LOC (ADVP (RB right)) (IN off) (PP (IN of) (NP (NP (NNP Walnut) (NNP Hill)) (CC and) (NP (NNP Preston))))))))))))) (. .) (-DFL- E_S))",19
