swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw01utt/sw_0142_2145.utt,2/sw2145,2145,0,qy^t,A,1,1,You want to start? /,[ You/PRP ] want/VBP to/TO start/VB ?/.,(SQ (NP-SBJ-1 (PRP You)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB start))))) (. ?) (-DFL- E_S)),1
sw01utt/sw_0142_2145.utt,2/sw2145,2145,1,sd,B,2,1,"{D Well, } I guess I would first identify  myself as middle aged  /","Well/UH ,/,  [ I/PRP ] guess/VBP  [ I/PRP ] would/MD first/RB identify/VB  [ myself/PRP ] as/IN  [ middle/JJ ]  aged/JJ","(S (INTJ (UH Well)) (, ,) (NP-SBJ (PRP I)) (VP (VBP guess) (SBAR (-NONE- 0) (S (NP-SBJ (PRP I)) (VP (MD would) (ADVP (RB first)) (VP (VB identify) (NP (PRP myself)) (PP (IN as) (ADJP (JJ middle) (JJ aged)))))))) (-DFL- E_S))",3
sw01utt/sw_0142_2145.utt,2/sw2145,2145,2,sd,B,2,2,"{C and } therefore,","and/CC therefore/RB ,/,","(S (CC and) (ADVP (RB therefore)) (, ,) (S-ADV (NP-SBJ (-NONE- *-1)) (VP (VBG having) (VP (VBN seen) (NP (DT the) (JJ last) (NN generation))))) (, ,) (NP-SBJ-1 (PRP I)) (VP (VBP guess) (SBAR (-NONE- 0) (S (NP-SBJ (PRP it)) (EDITED (RM (-DFL- \[)) (VP (VBZ puts) (NP (PRP me)) (PP-PUT-UNF (IN in))) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (VP (VBZ gives) (NP (PRP me)) (RS (-DFL- \])) (NP (NP (DT a) (NN perspective)) (PP (IN on) (NP (DT that)))))))) (. .) (-DFL- E_S))",4
sw01utt/sw_0142_2145.utt,2/sw2145,2145,3,b,A,3,1,Uh-huh. /,[ Uh-huh/UH ] ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),6
sw01utt/sw_0142_2145.utt,2/sw2145,2145,4,+,B,4,1,"having seen the last generation,  I guess it [ puts me in, + {D you know, } gives me ] a perspective on that. /","having/VBG seen/VBN  [ the/DT last/JJ generation/NN ] ,/,  [ I/PRP ] guess/VBP  [ it/PRP ] puts/VBZ  [ me/PRP ] in/IN ,/,  [ you/PRP ] know/VBP ,/, gives/VBZ  [ me/PRP ] [ a/DT perspective/NN ] on/IN  [ that/DT ] ./.","(S (CC and) (ADVP (RB therefore)) (, ,) (S-ADV (NP-SBJ (-NONE- *-1)) (VP (VBG having) (VP (VBN seen) (NP (DT the) (JJ last) (NN generation))))) (, ,) (NP-SBJ-1 (PRP I)) (VP (VBP guess) (SBAR (-NONE- 0) (S (NP-SBJ (PRP it)) (EDITED (RM (-DFL- \[)) (VP (VBZ puts) (NP (PRP me)) (PP-PUT-UNF (IN in))) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (VP (VBZ gives) (NP (PRP me)) (RS (-DFL- \])) (NP (NP (DT a) (NN perspective)) (PP (IN on) (NP (DT that)))))))) (. .) (-DFL- E_S))",4
sw01utt/sw_0142_2145.utt,2/sw2145,2145,5,b,A,5,1,Yeah. /,Yeah/UH ./.,(INTJ (UH Yeah) (. .) (-DFL- E_S)),9
sw01utt/sw_0142_2145.utt,2/sw2145,2145,6,sd,B,6,1,"{F Uh, } <smacks> I, am quite positive on the things that I have seen happen recently relative to women [ in, + both in ]  society and in the work place,  /","[ Uh/UH ] ,/,  [ I/PRP ] ,/, am/VBP quite/RB positive/JJ on/IN  [ the/DT things/NNS ] that/IN  [ I/PRP ] have/VBP seen/VBN happen/VB recently/RB relative/JJ to/IN  [ women/NNS ] in/IN ,/,  [ both/DT ] in/IN  [ society/NN ] and/CC in/IN  [ the/DT work/NN place/NN ] ,/,","(S (INTJ (UH Uh)) (, ,) (NP-SBJ (PRP I)) (, ,) (VP (VBP am) (ADJP-PRD (RB quite) (JJ positive) (PP (IN on) (NP (NP (NP (DT the) (NNS things)) (ADJP (-NONE- *ICH*-2))) (SBAR (WHNP-1 (IN that)) (S (NP-SBJ (PRP I)) (VP (VBP have) (VP (VBN seen) (S (NP-SBJ (-NONE- *T*-1)) (VP (VB happen) (ADVP-TMP (RB recently)))) (ADJP-2 (JJ relative) (PP (IN to) (NP (NNS women)))) (EDITED (RM (-DFL- \[)) (PP-UNF (IN in)) (, ,) (IP (-DFL- \+))) (PP (DT both) (PP (IN in) (RS (-DFL- \])) (NP (NN society))) (CC and) (PP (IN in) (NP (DT the) (NN work) (NN place)))))))))))) (, ,) (-DFL- E_S))",11
sw01utt/sw_0142_2145.utt,2/sw2145,2145,7,sd,B,6,2,"{F uh, } there's no doubt about the fact that when I was first graduated from college the impression was that a woman's career would consist of a childbearing years and perhaps a return to the office, but not necessarily.  /","[ uh/UH ] ,/,  [ there/EX ] 's/BES  [ no/DT doubt/NN ] about/IN  [ the/DT fact/NN ] that/IN when/WRB  [ I/PRP ] was/VBD first/RB graduated/JJ from/IN  [ college/NN ] [ the/DT impression/NN ] was/VBD that/IN  [ a/DT woman/NN 's/POS career/NN ] would/MD consist/VB of/IN  [ a/DT childbearing/JJ years/NNS ] and/CC perhaps/RB  [ a/DT return/NN ] to/IN  [ the/DT office/NN ] ,/, but/CC not/RB necessarily/RB ./.","(S (INTJ (UH uh)) (, ,) (NP-SBJ (EX there)) (VP (BES 's) (NP-PRD (NP (DT no) (NN doubt)) (PP (IN about) (NP (DT the) (NN fact) (SBAR (IN that) (S (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ-1 (PRP I)) (VP (VBD was) (ADVP (RB first)) (VP (JJ graduated) (NP (-NONE- *-1)) (PP (IN from) (NP (NN college))) (ADVP-TMP (-NONE- *T*-2)))))) (NP-SBJ (DT the) (NN impression)) (VP (VBD was) (SBAR-PRD (IN that) (S (NP-SBJ (NP (DT a) (NN woman) (POS 's)) (NN career)) (VP (MD would) (VP (VB consist) (PP (IN of) (NP (NP (DT a) (JJ childbearing) (NNS years)) (CC and) (ADVP (ADVP (RB perhaps)) (NAC (-NONE- *ICH*-3))) (NP (NP (DT a) (NN return)) (PP (IN to) (NP (DT the) (NN office)))) (, ,) (NAC-3 (CC but) (ADVP (RB not) (RB necessarily)))))))))))))))) (. .) (-DFL- E_S))",12
sw01utt/sw_0142_2145.utt,2/sw2145,2145,8,sd,B,6,3,"{F Uh, } {D now } I think the change that I've seen as much as anything is one where couples, {F uh, } are more carefully planning their intention on how to both share homemaking duties and also how women will, {F uh, } have their children and then deliberately sort of plan how they go back to the work place. /","[ Uh/UH ] ,/, now/RB  [ I/PRP ] think/VBP  [ the/DT change/NN ] that/WDT  [ I/PRP ] 've/VBP seen/VBN as/RB much/RB as/IN  [ anything/NN ] is/VBZ  [ one/NN ] where/WRB  [ couples/NNS ] ,/,  [ uh/UH ] ,/, are/VBP more/RBR carefully/RB planning/VBG  [ their/PRP$ intention/NN ] on/IN how/WRB to/TO  [ both/DT ] share/VB homemaking/JJ  [ duties/NNS ] and/CC also/RB how/WRB  [ women/NNS ] will/MD ,/,  [ uh/UH ] ,/, have/VB  [ their/PRP$ children/NNS ] and/CC then/RB deliberately/RB  [ sort/RB ] of/RB  [ plan/VB ] how/WRB  [ they/PRP ] go/VBP back/RB to/IN  [ the/DT work/NN place/NN ] ./.","(S (INTJ (UH Uh)) (, ,) (ADVP-TMP (RB now)) (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (NP (DT the) (NN change)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN seen) (NP (-NONE- *T*-1))))))) (ADVP (ADVP (RB as) (RB much)) (PP (IN as) (NP (NN anything)))) (VP (VBZ is) (NP-PRD (NP (NN one)) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ-3 (NNS couples)) (, ,) (INTJ (UH uh)) (, ,) (VP (VBP are) (ADVP-MNR (RBR more) (RB carefully)) (VP (VBG planning) (NP (NP (PRP$ their) (NN intention)) (PP (IN on) (SBAR (SBAR (WHADVP-4 (WRB how)) (S (NP-SBJ (-NONE- *-3)) (VP (TO to) (DT both) (VP (VB share) (NP (JJ homemaking) (NNS duties)) (ADVP-MNR (-NONE- *T*-4)))))) (CC and) (ADVP (RB also)) (SBAR (WHADVP-5 (WRB how)) (S (NP-SBJ (NNS women)) (VP (MD will) (, ,) (INTJ (UH uh)) (, ,) (VP (VP (VB have) (NP (PRP$ their) (NNS children))) (CONJP (CC and) (RB then)) (ADVP (RB deliberately)) (ADVP (RB sort) (RB of)) (VP (VB plan) (SBAR (WHADVP-6 (WRB how)) (S (NP-SBJ (PRP they)) (VP (VBP go) (ADVP (RB back)) (PP (IN to) (NP (DT the) (NN work) (NN place))) (ADVP-MNR (-NONE- *T*-6)))))) (ADVP-MNR (-NONE- *T*-5))))))))) (ADVP (-NONE- *T*-2))))))))))) (. .) (-DFL- E_S))",13
sw01utt/sw_0142_2145.utt,2/sw2145,2145,9,b,A,7,1,Uh-huh. /,[ Uh-huh/UH ] ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),6
