swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw06utt/sw_0637_2104.utt,2/sw2104,2104,0,o,A,1,1,"Okay,  /","Okay/UH ,/,","(INTJ (UH Okay) (, ,) (-DFL- E_S))",1
sw06utt/sw_0637_2104.utt,2/sw2104,2104,1,sv,A,1,2,I think we're supposed to discuss  our view of the Soviet Union as a continuing threat to the United States. /,I/PRP think/VBP we/PRP 're/VBP supposed/VBN to/TO discuss/VB our/PRP$ view/NN of/IN the/DT Soviet/NNP Union/NNP as/IN a/DT continuing/VBG threat/NN to/IN the/DT United/NNP States/NNPS ./.,(S (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ-1 (PRP we)) (VP (VBP 're) (VP (VBN supposed) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB discuss) (NP (NP (PRP$ our) (NN view)) (PP (IN of) (NP (NP (DT the) (NNP Soviet) (NNP Union)) (PP (IN as) (NP (NP (DT a) (VBG continuing) (NN threat)) (PP (IN to) (NP (DT the) (NNP United) (NNPS States)))))))))))))))) (. .) (-DFL- E_S)),2
sw06utt/sw_0637_2104.utt,2/sw2104,2104,2,b,B,2,1,Okay. /,Okay/UH ./.,(INTJ (UH Okay) (. .) (-DFL- E_S)),4
sw06utt/sw_0637_2104.utt,2/sw2104,2104,3,qo,A,3,1,How do you feel about that. /,How/WRB do/VBP you/PRP feel/VB about/IN that/DT ./.,(SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (DT that))) (ADVP-MNR (-NONE- *T*-1)))) (. .) (-DFL- E_S)),6
sw06utt/sw_0637_2104.utt,2/sw2104,2104,4,%,B,4,1,"I don't really, - /","I/PRP do/VBP n't/RB really/RB ,/,","(S (NP-SBJ (PRP I)) (VP-UNF (VBP do) (RB n't) (ADVP (RB really))) (, ,) (-DFL- N_S))",8
sw06utt/sw_0637_2104.utt,2/sw2104,2104,5,%,B,4,2,"I more, <breathing> - /","I/PRP more/JJR ,/,","(S-UNF (NP-SBJ (PRP I)) (ADVP (JJR more)) (, ,) (-DFL- N_S))",9
sw06utt/sw_0637_2104.utt,2/sw2104,2104,6,sd,B,4,3,"I don't know about the government as much as, {F uh, } - /","I/PRP do/VBP n't/RB know/VB about/IN the/DT government/NN as/RB much/JJ as/IN ,/, uh/UH ,/,","(S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (PP (IN about) (NP (DT the) (NN government))) (ADVP (ADVP (RB as) (JJ much)) (PP-UNF (IN as) (, ,) (INTJ (UH uh)))))) (, ,) (-DFL- N_S))",10
sw06utt/sw_0637_2104.utt,2/sw2104,2104,7,sd,B,4,4,"the people, {F uh, } I wouldn't consider  to be a threat at all  /","the/DT people/NNS ,/, uh/UH ,/, I/PRP would/MD n't/RB consider/VB to/TO be/VB a/DT threat/NN at/IN all/DT","(S (NP-TPC-1 (DT the) (NNS people)) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (VP (MD would) (RB n't) (VP (VB consider) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (NP-PRD (DT a) (NN threat)) (ADVP (IN at) (DT all))))))) (-DFL- E_S))",11
sw06utt/sw_0637_2104.utt,2/sw2104,2104,8,sv,B,4,5,{C and } I really don't feel much {D like } the Soviet  Union itself is a threat anymore.  /,and/CC I/PRP really/RB do/VBP n't/RB feel/VB much/RB like/IN the/DT Soviet/NNP Union/NNP itself/PRP is/VBZ a/DT threat/NN anymore/RB ./.,(S (CC and) (NP-SBJ (PRP I)) (ADVP (RB really)) (VP (VBP do) (RB n't) (VP (VB feel) (SBAR (ADVP (RB much)) (UH like) (S (NP-SBJ (NP (DT the) (NNP Soviet) (NNP Union)) (NP (PRP itself))) (VP (VBZ is) (NP-PRD (DT a) (NN threat)) (ADVP-TMP (RB anymore))))))) (. .) (-DFL- E_S)),12
sw06utt/sw_0637_2104.utt,2/sw2104,2104,9,sd,B,4,6,"[ I'm, +  I'm ] worried about them.  /","I/PRP 'm/VBP ,/, I/PRP 'm/VBP worried/JJ about/IN them/PRP ./.","(S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBP 'm))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (VP (VBP 'm) (RS (-DFL- \])) (ADJP-PRD (JJ worried) (PP (IN about) (NP (PRP them))))) (. .) (-DFL- E_S))",13
