swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw02utt/sw_0282_2672.utt,2/sw2672,2672,0,ad,A,1,1,Start. /,[ Start/VB ] ./.,(S-IMP (NP-SBJ (-NONE- *)) (VP (VB Start)) (. .) (-DFL- E_S)),1
sw02utt/sw_0282_2672.utt,2/sw2672,2672,1,qw,B,2,1,What kind of recycling programs do you have in Rowlett? /,[ What/WDT kind/NN ] of/IN recycling/NN  [ programs/NNS ] do/VBP  [ you/PRP ] have/VB in/IN  [ Rowlett/NNP ] ?/.,(SBARQ (WHNP-1 (WHNP (WDT What) (NN kind)) (PP (IN of) (NP (NN recycling) (NNS programs)))) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB have) (NP (-NONE- *T*-1)) (PP-LOC (IN in) (NP (NNP Rowlett))))) (. ?) (-DFL- E_S)),3
sw02utt/sw_0282_2672.utt,2/sw2672,2672,2,%,A,3,1,"{F Um, } th-, - /","[ Um/UH ] ,/,  [ th-/XX ] ,/,","(S (INTJ (UH Um)) (, ,) (NP-SBJ-UNF (XX th-)) (, ,) (-DFL- N_S))",5
sw02utt/sw_0282_2672.utt,2/sw2672,2672,3,sd,A,3,2,"{D well } right now they've got a, kind of a central location off of the main highway,  /","well/UH right/RB now/RB  [ they/PRP ] 've/VBP got/VBN  [ a/DT ] ,/,  [ kind/RB ] of/RB  [ a/DT central/JJ location/NN ] off/IN of/IN  [ the/DT main/JJ highway/NN ] ,/,","(S (INTJ (UH well)) (ADVP-TMP (RB right) (RB now)) (NP-SBJ (PRP they)) (VP (VBP 've) (VP (VBN got) (EDITED (NP-UNF (DT a)) (, ,)) (NP (NP (ADVP (RB kind) (RB of)) (DT a) (JJ central) (NN location)) (PP-LOC (IN off) (PP (IN of) (NP (DT the) (JJ main) (NN highway))))))) (, ,) (-DFL- E_S))",6
sw02utt/sw_0282_2672.utt,2/sw2672,2672,4,sd,A,3,3,"{C and } they've got some great big bins there for newspaper, {F um, } plastic, {F um, }  I think three bins for glass, white, green, and [ whatev-, + whatever ] other combination there is. /","and/CC  [ they/PRP ] 've/VBP got/VBN  [ some/DT great/JJ big/JJ bins/NNS ] there/RB for/IN  [ newspaper/NN ] ,/, um/UH ,/,  [ plastic/NN ] ,/, um/UH ,/,  [ I/PRP ] think/VBP  [ three/CD bins/NNS ] for/IN  [ glass/NN ] ,/,  [ white/JJ ] ,/,  [ green/JJ ] ,/, and/CC  [ whatev/WDT ] ,/,  [ whatever/WDT ] [ other/JJ combination/NN ] there/EX is/VBZ ./.","(S (CC and) (NP-SBJ (PRP they)) (VP (VBP 've) (VP (VBN got) (NP (NP (NP (DT some) (ADJP (JJ great) (JJ big)) (NNS bins)) (ADVP-LOC (RB there)) (PP (IN for) (NP (NN newspaper) (, ,) (INTJ (UH um)) (, ,) (NN plastic)))) (, ,) (INTJ (UH um)) (PRN (, ,) (S (NP-SBJ (PRP I)) (VP (VBP think)))) (NP (NP (CD three) (NNS bins)) (PP (IN for) (NP (NN glass))) (, ,) (NP (NP (JJ white)) (, ,) (NP (JJ green)) (, ,) (CC and) (SBAR-NOM (EDITED (RM (-DFL- \[)) (WHNP-UNF (WDT whatev-)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WDT whatever) (RS (-DFL- \])) (JJ other) (NN combination)) (S (NP-SBJ (EX there)) (VP (VBZ is) (NP-PRD (-NONE- *T*-1)))))))))) (. .) (-DFL- E_S))",7
sw02utt/sw_0282_2672.utt,2/sw2672.pos,2672,5,x,B,4,1,<Laughter>.,./.
sw02utt/sw_0282_2672.utt,2/sw2672,2672,6,sd,A,5,1,"[ {C And, } + {C and } ] I think they've got [ a comp-, + ] {F uh, } some kind of container for aluminum. /","And/CC ,/, and/CC  [ I/PRP ] think/VBP  [ they/PRP ] 've/VBP got/VBN  [ a/DT comp-/XX ] ,/,  [ uh/UH ] ,/,  [ some/DT kind/NN ] of/IN  [ container/NN ] for/IN  [ aluminum/NN ] ./.","(S (EDITED (RM (-DFL- \[)) (CC And) (, ,) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (PRP they)) (VP (VBP 've) (VP (VBN got) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a) (XX comp-)) (, ,) (IP (-DFL- \+)) (RS (-DFL- \]))) (INTJ (UH uh)) (, ,) (NP (NP (DT some) (NN kind)) (PP (IN of) (NP (NN container))) (PP (IN for) (NP (NN aluminum))))))))) (. .) (-DFL- E_S))",10
sw02utt/sw_0282_2672.utt,2/sw2672,2672,7,sd,B,6,1,Plano's doing real good on that.  /,[ Plano/NNP ] 's/BES doing/VBG  [ real/RB good/RB ] on/IN  [ that/DT ] ./.,(S (NP-SBJ (NNP Plano)) (VP (BES 's) (VP (VBG doing) (ADVP-MNR (RB real) (RB good)) (PP (IN on) (NP (DT that))))) (. .) (-DFL- E_S)),12
sw02utt/sw_0282_2672.utt,2/sw2672,2672,8,sd,B,6,2,"[ They have, + {F uh, } they ] start off putting out great big huge garbage cans.","[ They/PRP ] have/VBP ,/,  [ uh/UH ] ,/,  [ they/PRP ] start/VBP off/RP putting/VBG out/RB  [ great/JJ big/JJ huge/JJ garbage/NN cans/NNS ] ./.","(S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP They)) (VP-UNF (VBP have))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ-1 (PRP they)) (RS (-DFL- \])) (VP (VBP start) (PRT (RP off)) (S (NP-SBJ (-NONE- *-1)) (VP (VBG putting) (PRT (RB out)) (NP (NP (ADJP (JJ great) (JJ big)) (JJ huge) (NN garbage) (NNS cans)) (. .) (SBAR (WHNP-3 (WDT Which)) (S (NP-SBJ-2 (PRP we)) (VP (VBP 're) (VP (VBN supposed) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB put) (NP (DT all) (PRP$ our) (NP (NN week) (POS 's)) (NN garbage)) (PP-PUT (IN into) (NP (NP (-NONE- *T*-3)) (NP (PRP it))))))))))))))) (, ,) (-DFL- E_S))",13
sw02utt/sw_0282_2672.utt,2/sw2672,2672,9,b,A,7,1,Uh-huh. /,[ Uh-huh/UH ] ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),15
