swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw03utt/sw_0325_2171.utt,2/sw2171,2171,0,qo,A,1,1,"{D Well, } how do you feel about it? /","Well/UH ,/, how/WRB do/VBP  [ you/PRP ] feel/VB about/IN  [ it/PRP ] ?/.","(SBARQ (INTJ (UH Well)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (PRP it))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S))",1
sw03utt/sw_0325_2171.utt,2/sw2171,2171,1,sd,B,2,1,"{D Well, } {F uh, } I don't have any strong  convictions about it,  /","Well/UH ,/,  [ uh/UH ] ,/,  [ I/PRP ] do/VBP n't/RB have/VB  [ any/DT strong/JJ convictions/NNS ] about/IN  [ it/PRP ] ,/,","(S (INTJ (UH Well)) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT any) (JJ strong) (NNS convictions)) (PP (IN about) (NP (PRP it)))))) (, ,) (-DFL- E_S))",3
sw03utt/sw_0325_2171.utt,2/sw2171,2171,2,sd,B,2,2,that's for sure.  /,[ that/DT ] 's/BES for/IN sure/JJ ./.,(S (NP-SBJ (DT that)) (VP (BES 's) (PP-PRD (IN for) (ADJP (JJ sure)))) (. .) (-DFL- E_S)),4
sw03utt/sw_0325_2171.utt,2/sw2171,2171,3,sd,B,2,3,"{F Um, } I know I haven't done any Peace Corps service,  /","[ Um/UH ] ,/,  [ I/PRP ] know/VBP  [ I/PRP ] have/VBP n't/RB done/VBN  [ any/DT Peace/NNP Corps/NNP service/NN ] ,/,","(S (INTJ (UH Um)) (, ,) (NP-SBJ (PRP I)) (VP (VBP know) (SBAR (-NONE- 0) (S (NP-SBJ (PRP I)) (VP (VBP have) (RB n't) (VP (VBN done) (NP (DT any) (NNP Peace) (NNP Corps) (NN service))))))) (, ,) (-DFL- E_S))",5
sw03utt/sw_0325_2171.utt,2/sw2171,2171,4,sd,B,2,4,"{C and }  I don't know anybody in my immediate family that [ has, + {E or, } {D you know, } has ever ]  even thought about it.  /","and/CC  [ I/PRP ] do/VBP n't/RB know/VB  [ anybody/NN ] in/IN  [ my/PRP$ immediate/JJ family/NN ] [ that/WDT ] has/VBZ ,/, or/CC ,/,  [ you/PRP ] know/VBP ,/, has/VBZ ever/RB even/RB thought/VBN about/IN  [ it/PRP ] ./.","(S (CC and) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (NP (NP (NN anybody)) (PP (IN in) (NP (PRP$ my) (JJ immediate) (NN family))) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (EDITED (RM (-DFL- \[)) (VP-UNF (VBZ has)) (, ,) (IP (-DFL- \+)) (CC or)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (VP (VBZ has) (ADVP-TMP (RB ever)) (RS (-DFL- \])) (ADVP (RB even)) (VP (VBN thought) (PP (IN about) (NP (PRP it)))))))))) (. .) (-DFL- E_S))",6
sw03utt/sw_0325_2171.utt,2/sw2171,2171,5,qy,B,2,5,"[ Do you know, + {F uh, } do you know ] anybody that's been it? /","Do/VBP  [ you/PRP ] know/VB ,/, uh/UH ,/, do/VBP  [ you/PRP ] know/VB  [ anybody/NN ] [ that/WDT ] [ 's/HVS ] been/VBN  [ it/PRP ] ?/.","(SQ (EDITED (RM (-DFL- \[)) (SQ (VBP Do) (NP-SBJ (PRP you)) (VP-UNF (VB know))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (VBP do) (NP-SBJ (PRP you)) (VP (VB know) (RS (-DFL- \])) (NP (NP (NN anybody)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (HVS 's) (VP (VBN been) (X (NP (PRP it))))))))) (. ?) (-DFL- E_S))",7
sw03utt/sw_0325_2171.utt,2/sw2171,2171,6,nn,A,3,1,"No,  /","No/UH ,/,","(INTJ (UH No) (, ,) (-DFL- E_S))",9
sw03utt/sw_0325_2171.utt,2/sw2171,2171,7,sd^e,A,3,2,"[ the, + the ] only people I know that have done  anything remotely like that are people that have gone to be missionaries,  /","[ the/DT ] ,/,  [ the/DT only/JJ people/NNS I/PRP ] know/VBP  [ that/WDT ] have/VBP done/VBN  [ anything/NN ] remotely/RB like/IN  [ that/DT ] are/VBP  [ people/NNS ] [ that/WDT ] have/VBP gone/VBN to/IN be/VB  [ missionaries/NNS ] ,/,","(S (EDITED (RM (-DFL- \[)) (NP-SBJ-UNF (DT the)) (, ,) (IP (-DFL- \+))) (NP-SBJ (NP (DT the) (RS (-DFL- \])) (JJ only) (NNS people)) (SBAR (WHNP-4 (-NONE- 0)) (S (NP-SBJ (PRP I)) (VP (VBP know) (NP (-NONE- *T*-4))))) (SBAR (WHNP-3 (WDT that)) (S (NP-SBJ (-NONE- *T*-3)) (VP (VBP have) (VP (VBN done) (NP (NP (NN anything)) (PP (ADVP (RB remotely)) (IN like) (NP (DT that))))))))) (VP (VBP are) (NP-PRD (NP (NNS people)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ-2 (-NONE- *T*-1)) (VP (VBP have) (VP (VBN gone) (S-PRP (NP-SBJ (-NONE- *-2)) (VP (IN to) (VP (VB be) (NP-PRD (NNS missionaries))))))))))) (, ,) (-DFL- E_S))",10
sw03utt/sw_0325_2171.utt,2/sw2171,2171,8,sd,A,3,3,"{C and } that's only  because I went to Baylor,  /","and/CC  [ that/DT ] 's/BES only/RB because/IN  [ I/PRP ] went/VBD to/IN  [ Baylor/NNP ] ,/,","(S (CC and) (NP-SBJ (DT that)) (VP (BES 's) (ADVP (RB only)) (SBAR-PRP-PRD (IN because) (S (NP-SBJ (PRP I)) (VP (VBD went) (PP (IN to) (NP (NNP Baylor))))))) (, ,) (-DFL- E_S))",11
sw03utt/sw_0325_2171.utt,2/sw2171,2171,9,sd,A,3,4,"{C and } a lot of students from Baylor go [ and, + and ]  serve as missionaries during the summer.  /","and/CC  [ a/DT lot/NN ] of/IN  [ students/NNS ] from/IN  [ Baylor/NNP ] go/VBP and/CC ,/, and/CC serve/VBP as/IN  [ missionaries/NNS ] during/IN  [ the/DT summer/NN ] ./.","(S (CC and) (NP-SBJ (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS students)) (PP (IN from) (NP (NNP Baylor)))))) (VP (VP (VBP go)) (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (VP (VBP serve) (PP (IN as) (NP (NNS missionaries))) (PP-TMP (IN during) (NP (DT the) (NN summer))))) (. .) (-DFL- E_S))",12
sw03utt/sw_0325_2171.utt,2/sw2171,2171,10,sv,A,3,5,"{C But } [ I think, + I think ] that's a   terrible idea.  /","But/CC  [ I/PRP ] think/VBP ,/,  [ I/PRP ] think/VBP  [ that/DT ] 's/BES  [ a/DT terrible/JJ idea/NN ] ./.","(S (CC But) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBP think))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (VP (VBP think) (RS (-DFL- \])) (SBAR (-NONE- 0) (S (NP-SBJ (DT that)) (VP (BES 's) (NP-PRD (DT a) (JJ terrible) (NN idea)))))) (. .) (-DFL- E_S))",13
sw03utt/sw_0325_2171.utt,2/sw2171,2171,11,sv,A,3,6,That's like  forcing someone to donate to a charity. /,[ That/DT ] 's/BES like/IN forcing/VBG  [ someone/NN ] to/TO donate/VB to/IN  [ a/DT charity/NN ] ./.,(S (NP-SBJ (DT That)) (VP (BES 's) (PP-PRD (IN like) (S-NOM (NP-SBJ (-NONE- *)) (VP (VBG forcing) (S (NP-SBJ (NN someone)) (VP (TO to) (VP (VB donate) (PP (IN to) (NP (DT a) (NN charity)))))))))) (. .) (-DFL- E_S)),14
sw03utt/sw_0325_2171.utt,2/sw2171,2171,12,b,B,4,1,Yeah. /,Yeah/UH ./.,(INTJ (UH Yeah) (. .) (-DFL- E_S)),16
