swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw04utt/sw_0427_3509.utt,3/sw3509,3509,0,qo,A,1,1,"{D So, }   how do you feel about capital punishment? /","So/UH ,/, how/WRB do/VBP  [ you/PRP ] feel/VB about/IN  [ capital/JJ punishment/NN ] ?/.","(SBARQ (INTJ (UH So)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (JJ capital) (NN punishment))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S))",1
sw04utt/sw_0427_3509.utt,3/sw3509,3509,1,sd,B,2,1,"{D Well, } [ [ I, + I'm ] not really certain how  I, + {F uh, } I'm   not certain [ that, + that ]   it ] does a lot of good.  {E I mean, } that it [ ends up, + ends up ] effectively, {F uh, } {F uh, } {F uh, } avoiding a lot of the crimes that have capital [ punishment -- +","Well/UH ,/,  [ I/PRP ] ,/,  [ I/PRP ] 'm/VBP not/RB really/RB certain/JJ how/WRB  [ I/PRP ] ,/,  [ uh/UH ] ,/,  [ I/PRP ] 'm/VBP not/RB certain/JJ that/IN ,/, that/IN  [ it/PRP ] does/VBZ  [ a/DT lot/NN ] of/IN  [ good/NN ] ./.  [ I/PRP ] mean/VBP ,/, that/IN  [ it/PRP ] ends/VBZ up/RP ,/,  [ ends/VBZ ] up/RP effectively/RB ,/,  [ uh/UH ] ,/,  [ uh/UH ] ,/,  [ uh/UH ] ,/, avoiding/VBG  [ a/DT lot/NN ] of/IN  [ the/DT crimes/NNS ] [ that/WDT ] have/VBP  [ capital/JJ punishment/NN ] --/:","(S (INTJ (UH Well)) (, ,) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (S (NP-SBJ (PRP I)) (VP (VBP 'm) (RS (-DFL- \])) (RB not) (ADVP (RB really)) (ADJP-PRD (JJ certain) (SBAR (WHADVP (WRB how)) (S-UNF (NP-SBJ (PRP I))))))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADJP-PRD (JJ certain) (SBAR (SBAR (EDITED (RM (-DFL- \[)) (SBAR-UNF (IN that)) (, ,) (IP (-DFL- \+))) (IN that) (RS (-DFL- \])) (S (NP-SBJ (PRP it)) (RS (-DFL- \])) (VP (VBZ does) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN good))))))) (PRN (. .) (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (SBAR (IN that) (S (NP-SBJ-2 (PRP it)) (EDITED (RM (-DFL- \[)) (VP-UNF (VBZ ends) (PRT (RP up))) (, ,) (IP (-DFL- \+))) (VP (VBZ ends) (PRT (RP up)) (RS (-DFL- \])) (S (NP-SBJ (-NONE- *-2)) (ADVP-MNR (RB effectively)) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (VP (VBG avoiding) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT the) (NNS crimes)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP have) (NP (JJ capital) (RM (-DFL- \[)) (NN punishment) (IP (-DFL- \+)) (NNS penalties)))))))))))))))) (. .) (RS (-DFL- \])) (-DFL- E_S))",3
sw04utt/sw_0427_3509.utt,3/sw3509,3509,2,b,A,3,1,"Right,  /","Right/UH ,/,","(INTJ (UH Right) (, ,) (-DFL- E_S))",5
sw04utt/sw_0427_3509.utt,3/sw3509,3509,3,%,A,3,2,"# you don't think, # -/","[ you/PRP ] do/VBP n't/RB think/VB ,/,","(S (NP-SBJ (PRP you)) (VP (VBP do) (RB n't) (VP-UNF (VB think))) (, ,) (-DFL- N_S))",6
sw04utt/sw_0427_3509.utt,3/sw3509,3509,4,+,B,4,1,-- # penalties. # ]  /,--/:  [ penalties/NNS ] ./.,"(S (INTJ (UH Well)) (, ,) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (S (NP-SBJ (PRP I)) (VP (VBP 'm) (RS (-DFL- \])) (RB not) (ADVP (RB really)) (ADJP-PRD (JJ certain) (SBAR (WHADVP (WRB how)) (S-UNF (NP-SBJ (PRP I))))))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADJP-PRD (JJ certain) (SBAR (SBAR (EDITED (RM (-DFL- \[)) (SBAR-UNF (IN that)) (, ,) (IP (-DFL- \+))) (IN that) (RS (-DFL- \])) (S (NP-SBJ (PRP it)) (RS (-DFL- \])) (VP (VBZ does) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN good))))))) (PRN (. .) (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (SBAR (IN that) (S (NP-SBJ-2 (PRP it)) (EDITED (RM (-DFL- \[)) (VP-UNF (VBZ ends) (PRT (RP up))) (, ,) (IP (-DFL- \+))) (VP (VBZ ends) (PRT (RP up)) (RS (-DFL- \])) (S (NP-SBJ (-NONE- *-2)) (ADVP-MNR (RB effectively)) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (VP (VBG avoiding) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT the) (NNS crimes)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP have) (NP (JJ capital) (RM (-DFL- \[)) (NN punishment) (IP (-DFL- \+)) (NNS penalties)))))))))))))))) (. .) (RS (-DFL- \])) (-DFL- E_S))",3
sw04utt/sw_0427_3509.utt,3/sw3509,3509,5,h,B,4,2,"Yet, on the other hand, {F uh, } I don't know,  /","Yet/RB ,/, on/IN  [ the/DT other/JJ hand/NN ] ,/,  [ uh/UH ] ,/,  [ I/PRP ] do/VBP n't/RB know/VB ,/,","(S (ADVP (RB Yet)) (, ,) (PP (IN on) (NP (DT the) (JJ other) (NN hand))) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,) (-DFL- E_S))",8
sw04utt/sw_0427_3509.utt,3/sw3509,3509,6,%,B,4,3,"{E I mean, } there is things that <laughter> - /","[ I/PRP ] mean/VBP ,/,  [ there/EX ] is/VBZ  [ things/NNS ] [ that/WDT ]","(S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (NP-SBJ (EX there)) (VP (VBZ is) (NP-PRD (NP (NNS things)) (SBAR-UNF (WHNP (WDT that))))) (-DFL- N_S))",9
sw04utt/sw_0427_3509.utt,3/sw3509,3509,7,sv,B,4,4,"seems like [ [ it's, + it's, ] + it's ] the right thing to do.  /","seems/VBZ like/IN  [ it/PRP ] 's/BES ,/,  [ it/PRP ] 's/BES ,/,  [ it/PRP ] 's/BES  [ the/DT right/JJ thing/NN ] to/TO do/VB ./.","(S (NP-SBJ (-NONE- *)) (VP (VBZ seems) (SBAR (IN like) (S (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP it)) (VP-UNF (BES 's))) (, ,) (IP (-DFL- \+))) (S (NP-SBJ (PRP it)) (VP-UNF (BES 's))) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-SBJ (PRP it)) (VP (BES 's) (RS (-DFL- \])) (NP-PRD (NP (DT the) (JJ right) (NN thing)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1))))))))))) (. .) (-DFL- E_S))",10
sw04utt/sw_0427_3509.utt,3/sw3509,3509,8,sv,B,4,5,"{D Now, } {D you know, } {E I mean } [ somebody, + a [ [ s-, + s-, ] + serial ]  killer or somebody  ] goes in and  machine guns, {D you know, } [ fifty, + fifty ] children in a school yard,  /","Now/RB ,/,  [ you/PRP ] know/VBP ,/,  [ I/PRP ] mean/VBP  [ somebody/NN ] ,/,  [ a/DT s/JJ ] ,/,  [ s/JJ ] ,/,  [ serial/JJ killer/NN ] or/CC  [ somebody/NN ] goes/VBZ in/RB and/CC  [ machine/NN guns/NNS ] ,/,  [ you/PRP ] know/VBP ,/,  [ fifty/CD ] ,/,  [ fifty/CD children/NNS ] in/IN  [ a/DT school/NN yard/NN ] ,/,","(S (INTJ (RB Now)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean)))) (EDITED (RM (-DFL- \[)) (NP-SBJ (NN somebody)) (, ,) (IP (-DFL- \+))) (NP-SBJ (NP (DT a) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (JJ s-) (, ,) (IP (-DFL- \+))) (JJ s-) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (JJ serial) (RS (-DFL- \])) (NN killer)) (CC or) (NP (NN somebody))) (RS (-DFL- \])) (VP (VP (VBZ goes) (ADVP-DIR (RB in))) (CC and) (VP (TYPO (NN machine) (NNS guns)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (EDITED (RM (-DFL- \[)) (NP-UNF (CD fifty)) (, ,) (IP (-DFL- \+))) (NP (NP (CD fifty) (RS (-DFL- \])) (NNS children)) (PP-LOC (IN in) (NP (DT a) (NN school) (NN yard)))))) (, ,) (-DFL- E_S))",11
sw04utt/sw_0427_3509.utt,3/sw3509,3509,9,%,B,4,6,"you kind of, - /","[ you/PRP ] [ kind/RB ] of/RB ,/,","(S-UNF (NP-SBJ (PRP you)) (ADVP (RB kind) (RB of)) (, ,) (-DFL- N_S))",12
