swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw07utt/sw_0730_4905.utt,4/sw4905,4905,0,o,A,1,1,Okay <children_yelling>.  /,Okay/UH ./.,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,1,sd,A,1,2,"{F Uh, } I just currently  quit my job  /","Uh/UH ,/, I/PRP just/RB currently/RB quit/VBD my/PRP$ job/NN",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,2,sd,A,1,3,{C and so }  <laughter> I really don't receive any benefits right now # <laughter>. # /,and/CC so/RB I/PRP really/RB do/VBP n't/RB receive/VB any/DT benefits/NNS right/RB now/RB ./.,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,3,b,B,2,1,# <Static> <laughter> Right <sniffing>. # /,Right/UH ./.,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,4,sd,A,3,1,But my husband does  /,But/CC my/PRP$ husband/NN does/VBZ,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,5,sd,A,3,2,"{C and, } {F uh, } I think one  of the, {F uh, } my, - /","and/CC ,/, uh/UH ,/, I/PRP think/VBP one/CD of/IN the/DT ,/, uh/UH ,/, my/PRP$ ,/,",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,6,sd,A,3,3,"first of all, always salary and se-, - /","first/JJ of/IN all/DT ,/, always/RB salary/NN and/CC se/JJ ,/,",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,7,sd,A,3,4,"the second thing is, {F uh, }  because we have children,  /","the/DT second/JJ thing/NN is/VBZ ,/, uh/UH ,/, because/IN we/PRP have/VBP children/NNS ,/,",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,8,sd,A,3,5,"{C so }  it would be, <hum> {F uh, } health benefits and medical  benefits  /","so/RB it/PRP would/MD be/VB ,/, uh/UH ,/, health/NN benefits/NNS and/CC medical/JJ benefits/NNS",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,9,sd,A,3,6,[ {C and } + --,and/CC --/:,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,10,aa,B,4,1,"Yeah,  /","Yeah/UH ,/,",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,11,aa^r,B,4,2,yeah.  /,yeah/UH ./.,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,12,aa,B,4,3,Definitely. /,Definitely/UH ./.,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,13,+,A,5,1,"-- {C and, } ] {F uh, } right now we have probably some excellent benefits right now.  /","--/: and/CC ,/, uh/UH ,/, right/RB now/RB we/PRP have/VBP probably/RB some/DT excellent/JJ benefits/NNS right/RB now/RB ./.",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,14,sd,A,5,2,We have with Aetna  /,We/PRP have/VBP with/IN Aetna/NNP,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,15,sd,A,5,3,"{C and, } {F uh, } I don't know if you're familiar with them  /","and/CC ,/, uh/UH ,/, I/PRP do/VBP n't/RB know/VB if/IN you/PRP 're/VBP familiar/JJ with/IN them/PRP",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,16,sd,A,5,4,{C but } we're real happy with them. /,but/CC we/PRP 're/VBP real/RB happy/JJ with/IN them/PRP ./.,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,17,b,B,6,1,Yeah.  /,Yeah/UH ./.,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,18,b^r,B,6,2,"Yeah,  /","Yeah/UH ,/,",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,19,sd,B,6,3,"I've had a variety of different jobs with [ a + ] various types, {F uh, } in the computer field.  /","I/PRP 've/VBP had/VBN a/DT variety/NN of/IN different/JJ jobs/NNS with/IN a/DT various/JJ types/NNS ,/, uh/UH ,/, in/IN the/DT computer/NN field/NN ./.",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,20,sd,B,6,4,{C And so } I've seen a variety of types of benefits.  /,And/CC so/RB I/PRP 've/VBP seen/VBN a/DT variety/NN of/IN types/NNS of/IN benefits/NNS ./.,,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,21,sd,B,6,5,"{F Uh, } I've worked [ [ for, + for ] +  ((   )) for ]  awhile  /","Uh/UH ,/, I/PRP 've/VBP worked/VBN for/IN ,/, for/IN MUMBLEx/XX for/IN awhile/RB",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,22,sd,B,6,6,"{C and } they are, {D you know, } a really academic type of place.  /","and/CC they/PRP are/VBP ,/, you/PRP know/VBP ,/, a/DT really/RB academic/JJ type/NN of/IN place/NN ./.",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,23,sd,B,6,7,"{C And then } I've worked with  regular, {D you know, } industry type places.  And then with others that are kind of half way between and  stuff.  /","And/CC then/RB I/PRP 've/VBP worked/VBN with/IN regular/JJ ,/, you/PRP know/VBP ,/, industry/NN type/NN places/NNS ./. And/CC then/RB with/IN others/NNS that/WDT are/VBP kind/RB of/RB half/JJ way/NN between/IN and/CC stuff/NN ./.",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,24,sd,B,6,8,"{C So } I've seen a wide range of both, {D you know, }  nonsalary type benefits and other stuff, {D you know, } like health care that's either  fully or partially paid  /","So/RB I/PRP 've/VBP seen/VBN a/DT wide/JJ range/NN of/IN both/DT ,/, you/PRP know/VBP ,/, nonsalary/JJ type/NN benefits/NNS and/CC other/JJ stuff/NN ,/, you/PRP know/VBP ,/, like/IN health/NN care/NN that/WDT 's/BES either/CC fully/RB or/CC partially/RB paid/JJ",,
sw07utt/sw_0730_4905.utt,4/sw4905,4905,25,sd,B,6,9,"{C and, } {D you know, } some have {D like } bonuses/","and/CC ,/, you/PRP know/VBP ,/, some/DT have/VBP like/IN bonuses/NNS",,
