swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw09utt/sw_0987_3518.utt,3/sw3518,3518,0,o,A,1,1,Okay Brian. /,Okay/UH Brian/NNP ./.,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,1,fp,B,2,1,"Hi,  /","Hi/UH ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,2,fp,B,2,2,how you doing Kevin? /,how/WRB you/PRP doing/VBG Kevin/NNP ?/.,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,3,fp,A,3,1,"Fine, thanks <laughter>. /","Fine/JJ ,/, thanks/NNS ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,4,ba,B,4,1,"Good,  /","Good/UH ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,5,ba^r,B,4,2,"good,  /","good/UH ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,6,sd,B,4,3,glad to <noise> hear that.  /,glad/JJ to/TO hear/VB that/DT ./.,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,7,%,B,4,4,"I understand, -/","I/PRP understand/VBP ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,8,qy,A,5,1,Are you a total banner? /,Are/VBP you/PRP a/DT total/JJ banner/NN ?/.,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,9,qy^h,B,6,1,Total banner? /,Total/JJ banner/NN ?/.,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,10,ny,A,7,1,Yeah. /,Yeah/UH ./.,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,11,nn,B,8,1,"No,  /","No/UH ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,12,sv^e,B,8,2,"[ I, + I ] believe that, {F uh, } the American public and I, as an individual and  private citizen have a right [ to, + to ] bear arms and to have a gun as long as I, {F uh, } am responsible with it and protect the safety and welfare of my kids  /","I/PRP ,/, I/PRP believe/VBP that/IN ,/, uh/UH ,/, the/DT American/JJ public/JJ and/CC I/PRP ,/, as/IN an/DT individual/JJ and/CC private/JJ citizen/NN have/VBP a/DT right/NN to/TO ,/, to/TO bear/VB arms/NNS and/CC to/TO have/VB a/DT gun/NN as/RB long/RB as/IN I/PRP ,/, uh/UH ,/, am/VBP responsible/JJ with/IN it/PRP and/CC protect/VBP the/DT safety/NN and/CC welfare/NN of/IN my/PRP$ kids/NNS",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,13,sv,B,8,3,"[ and, + and ] so that they're not playing with it and so that they can't hurt themselves or anyone else playing with it.  /","and/CC ,/, and/CC so/IN that/IN they/PRP 're/VBP not/RB playing/VBG with/IN it/PRP and/CC so/IN that/IN they/PRP ca/MD n't/RB hurt/VB themselves/PRP or/CC anyone/NN else/RB playing/VBG with/IN it/PRP ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,14,sv,B,8,4,"I think that education with a gun [ is, + is ] critical and important.  /","I/PRP think/VBP that/IN education/NN with/IN a/DT gun/NN is/VBZ ,/, is/VBZ critical/JJ and/CC important/JJ ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,15,sv,B,8,5,"{F Uh, } however, I do believe that, {F uh, } guns ought to be maintained [ and, + and ] controlled that you can't go out and just buy one off the corner and do whatever you want with it because people that are angry or have concerns or want to seek vengeance right away have easy access to guns  /","Uh/UH ,/, however/RB ,/, I/PRP do/VBP believe/VB that/IN ,/, uh/UH ,/, guns/NNS ought/MD to/TO be/VB maintained/VBN and/CC ,/, and/CC controlled/VBN that/IN you/PRP ca/MD n't/RB go/VB out/RB and/CC just/RB buy/VB one/CD off/IN the/DT corner/NN and/CC do/VB whatever/WP you/PRP want/VBP with/IN it/PRP because/IN people/NNS that/WDT are/VBP angry/JJ or/CC have/VBP concerns/NNS or/CC want/VBP to/TO seek/VB vengeance/NN right/RB away/RB have/VBP easy/JJ access/NN to/IN guns/NNS",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,16,sv,B,8,6,"{C and } in the heat of the moment, they can go and do some damage that can hurt themselves and other people,  /","and/CC in/IN the/DT heat/NN of/IN the/DT moment/NN ,/, they/PRP can/MD go/VB and/CC do/VB some/DT damage/NN that/WDT can/MD hurt/VB themselves/PRP and/CC other/JJ people/NNS ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,17,sd,B,8,7,"{C so } on a scale of one to ten, [ I, + I ] think I would rate myself [ as a, + in the ] six or seven or eight. /","so/RB on/IN a/DT scale/NN of/IN one/CD to/IN ten/CD ,/, I/PRP ,/, I/PRP think/VBP I/PRP would/MD rate/VB myself/PRP as/IN a/DT ,/, in/IN the/DT six/CD or/CC seven/CD or/CC eight/CD ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,18,bk,A,9,1,Okay. /,Okay/UH ./.,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,19,sv,B,10,1,"{C But, } I think that there ought to be some control,  /","But/CC ,/, I/PRP think/VBP that/IN there/EX ought/MD to/TO be/VB some/DT control/NN ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,20,sv,B,10,2,"{C but } I still think that, {F uh, } individuals have a right.  /","but/CC I/PRP still/RB think/VBP that/IN ,/, uh/UH ,/, individuals/NNS have/VBP a/DT right/NN ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,21,qo,B,10,3,How do you feel about it? /,How/WRB do/VBP you/PRP feel/VB about/IN it/PRP ?/.,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,22,^h,A,11,1,"{D Well, } {D so, } let me make sure,  /","Well/UH ,/, so/RB ,/, let/VB me/PRP make/VB sure/JJ ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,23,qy,A,11,2,"{D so } you think that, {F uh, } maybe a five day waiting period for handguns or that stuff would be legitimate? /","so/UH you/PRP think/VBP that/IN ,/, uh/UH ,/, maybe/RB a/DT five/CD day/NN waiting/NN period/NN for/IN handguns/NNS or/CC that/DT stuff/NN would/MD be/VB legitimate/JJ ?/.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,24,no,B,12,1,"{D Well, } I don't know if a five day waiting period would be legitimate.  /","Well/UH ,/, I/PRP do/VBP n't/RB know/VB if/IN a/DT five/CD day/NN waiting/NN period/NN would/MD be/VB legitimate/JJ ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,25,sv,B,12,2,"{F Uh, } [ that, + {F uh, } that ] might cool down some tempers.  /","Uh/UH ,/, that/DT ,/, uh/UH ,/, that/DT might/MD cool/VB down/RP some/DT tempers/NNS ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,26,sv,B,12,3,"I think [ a, + a ] one day would be sufficient.  /","I/PRP think/VBP a/DT ,/, a/DT one/CD day/NN would/MD be/VB sufficient/JJ ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,27,sv,B,12,4,The reason I say that is there is an awful lot of people who go to gun shows  /,The/DT reason/NN I/PRP say/VBP that/DT is/VBZ there/EX is/VBZ an/DT awful/JJ lot/NN of/IN people/NNS who/WP go/VBP to/IN gun/NN shows/NNS,,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,28,sv,B,12,5,"{C and } if you see an awful lot of exhibits and things and if you would like to purchase a gun, if that five day waiting period were in effect, you wouldn't be able to purchase one at that gun show. /","and/CC if/IN you/PRP see/VBP an/DT awful/JJ lot/NN of/IN exhibits/NNS and/CC things/NNS and/CC if/IN you/PRP would/MD like/VB to/TO purchase/VB a/DT gun/NN ,/, if/IN that/DT five/CD day/NN waiting/NN period/NN were/VBD in/IN effect/NN ,/, you/PRP would/MD n't/RB be/VB able/JJ to/TO purchase/VB one/CD at/IN that/DT gun/NN show/NN ./.",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,29,ar,A,13,1,"{F Uh, } [ you just, + you ] would be able to buy it,  /","Uh/UH ,/, you/PRP just/RB ,/, you/PRP would/MD be/VB able/JJ to/TO buy/VB it/PRP ,/,",,
sw09utt/sw_0987_3518.utt,3/sw3518,3518,30,sv,A,13,2,"{C but } they'd just have to mail it to you, I suppose, {F huh. } /","but/CC they/PRP 'd/MD just/RB have/VB to/TO mail/VB it/PRP to/IN you/PRP ,/, I/PRP suppose/VBP ,/, huh/UH ./.",,
