swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw04utt/sw_0487_3206.utt,3/sw3206,3206,0,o,A,1,1,"Yeah,  /","Yeah/UH ,/,","(INTJ (UH Yeah) (, ,) (-DFL- E_S))",1
sw04utt/sw_0487_3206.utt,3/sw3206,3206,1,qy^c,A,1,2,are you there? /,are/VBP  [ you/PRP ] there/RB ?/.,(SQ (VBP are) (NP-SBJ (PRP you)) (ADVP-PRD-LOC (RB there)) (. ?) (-DFL- E_S)),2
sw04utt/sw_0487_3206.utt,3/sw3206,3206,2,ny,B,2,1,Yes. /,Yes/UH ./.,(INTJ (UH Yes) (. .) (-DFL- E_S)),4
sw04utt/sw_0487_3206.utt,3/sw3206,3206,3,bk,A,3,1,Okay.  /,Okay/UH ./.,(INTJ (UH Okay) (. .) (-DFL- E_S)),6
sw04utt/sw_0487_3206.utt,3/sw3206,3206,4,qy^t,A,3,2,Do you know the question for today? /,Do/VBP  [ you/PRP ] know/VB  [ the/DT question/NN ] for/IN  [ today/NN ] ?/.,(SQ (VBP Do) (NP-SBJ (PRP you)) (VP (VB know) (NP (NP (DT the) (NN question)) (PP (IN for) (NP (NN today))))) (. ?) (-DFL- E_S)),7
sw04utt/sw_0487_3206.utt,3/sw3206,3206,5,ny,B,4,1,"{F Uh, } yes.  /","[ Uh/UH ] ,/, yes/UH ./.","(INTJ (INTJ (UH Uh)) (, ,) (INTJ (UH yes)) (. .) (-DFL- E_S))",9
sw04utt/sw_0487_3206.utt,3/sw3206,3206,6,sd^e,B,4,2,It's about why there aren't more people that are voting and participating in ... -/,[ It/PRP ] 's/BES about/IN why/WRB  [ there/EX ] are/VBP n't/RB  [ more/JJR people/NNS ] [ that/WDT ] are/VBP voting/VBG and/CC participating/VBG in/IN .../:,(S (NP-SBJ (PRP It)) (VP (BES 's) (PP-PRD (IN about) (SBAR-NOM (WHADVP-2 (WRB why)) (S (NP-SBJ (EX there)) (VP (VBP are) (RB n't) (NP-PRD (NP (JJR more) (NNS people)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (VP (VBG voting) (CC and) (VBG participating) (PP-UNF (IN in))))))) (ADVP-PRP (-NONE- *T*-2))))))) (: ...) (-DFL- N_S)),10
sw04utt/sw_0487_3206.utt,3/sw3206,3206,7,qw,A,5,1,{C And } what is your feeling?  /,And/CC  [ what/WP ] is/VBZ  [ your/PRP$ feeling/NN ] ?/.,(SBARQ (CC And) (WHNP-1 (WP what)) (SQ (VBZ is) (NP-SBJ (PRP$ your) (NN feeling)) (NP-PRD (-NONE- *T*-1))) (. ?) (-DFL- E_S)),12
sw04utt/sw_0487_3206.utt,3/sw3206,3206,8,qy,A,5,2,Do you think this is vital important? /,Do/VBP  [ you/PRP ] think/VB  [ this/DT ] is/VBZ  [ vital/RB important/JJ ] ?/.,(SQ (VBP Do) (NP-SBJ (PRP you)) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ (DT this)) (VP (VBZ is) (ADJP-PRD (RB vital) (JJ important)))))) (. ?) (-DFL- E_S)),13
sw04utt/sw_0487_3206.utt,3/sw3206,3206,9,na,B,6,1,"{F Oh, } absolutely. /","Oh/UH ,/, absolutely/UH ./.","(INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH absolutely)) (. .) (-DFL- E_S))",15
sw04utt/sw_0487_3206.utt,3/sw3206,3206,10,bk,A,7,1,Okay.  /,Okay/UH ./.,(INTJ (UH Okay) (. .) (-DFL- E_S)),6
sw04utt/sw_0487_3206.utt,3/sw3206,3206,11,bh,A,7,2,"Do you, /","Do/VBP  [ you/PRP ] ,/,","(SQ (VBP Do) (NP-SBJ (PRP you)) (, ,) (-DFL- E_S))",18
sw04utt/sw_0487_3206.utt,3/sw3206,3206,12,sv,B,8,1,"{F Um, } I think that, {F uh, } it's kind of discouraging to, {F uh, } - /","[ Um/UH ] ,/,  [ I/PRP ] think/VBP  [ that/IN ] ,/,  [ uh/UH ] ,/,  [ it/PRP ] 's/BES  [ kind/RB ] of/RB discouraging/JJ to/IN ,/,  [ uh/UH ] ,/,","(S (INTJ (UH Um)) (, ,) (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (IN that) (, ,) (INTJ (UH uh)) (, ,) (S (NP-SBJ (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP-PRD (JJ discouraging)) (PP-UNF (IN to) (, ,) (INTJ (UH uh))))))) (, ,) (-DFL- N_S))",20
sw04utt/sw_0487_3206.utt,3/sw3206,3206,13,sd,B,8,2,"I have been involved in some political campaigns and that kind of thing,  /","[ I/PRP ] have/VBP been/VBN involved/JJ in/IN  [ some/DT political/JJ campaigns/NNS ] and/CC  [ that/DT kind/NN ] of/IN  [ thing/NN ] ,/,","(S (NP-SBJ (PRP I)) (VP (VBP have) (VP (VBN been) (ADJP-PRD (JJ involved) (PP (IN in) (NP (NP (DT some) (JJ political) (NNS campaigns)) (CC and) (NP (NP (DT that) (NN kind)) (PP (IN of) (NP (NN thing))))))))) (, ,) (-DFL- E_S))",21
